Bio_number,Date,Time
179,2/3/2020,8:07:16
179,2/3/2020,17:02:53
179,2/4/2020,8:27:37
179,2/4/2020,17:03:58
179,2/5/2020,8:30:41
179,2/5/2020,17:00:52
179,2/6/2020,7:47:31
179,2/6/2020,17:04:08
179,2/7/2020,7:55:29
179,2/7/2020,17:02:30
179,2/10/2020,7:56:45
179,2/10/2020,17:00:37
179,2/11/2020,7:50:27
179,2/11/2020,17:01:22
179,2/12/2020,7:53:01
179,2/13/2020,7:52:37
179,2/13/2020,17:03:03
179,2/14/2020,7:55:54
179,2/14/2020,17:02:28
179,2/15/2020,8:03:10
179,2/15/2020,17:01:30
