Bio_number,Date,Time
82,2/3/2020,8:07:16
82,2/3/2020,17:02:53
82,2/4/2020,8:27:37
82,2/4/2020,17:03:58
82,2/5/2020,8:30:41
82,2/5/2020,17:00:52
82,2/6/2020,7:47:31
82,2/6/2020,17:04:08
82,2/7/2020,7:55:29
82,2/7/2020,17:02:30
82,2/10/2020,7:56:45
82,2/10/2020,17:00:37
82,2/11/2020,7:50:27
82,2/11/2020,17:01:22
82,2/12/2020,7:53:01
82,2/13/2020,7:52:37
82,2/13/2020,17:03:03
82,2/14/2020,7:55:54
82,2/14/2020,17:02:28
82,2/15/2020,8:03:10
82,2/15/2020,17:01:30
